name;birth_year;start_year;invitees;status
cohort1;1938;2014;86033;invited
cohort2;1938;2014;31337;invited
cohort3;1939;2014;39095;invited
cohort4;1939;2014;78816;invited
cohort5;1947;2014;22008;invited
cohort6;1947;2014;168244;invited
cohort7;1949;2014;37380;invited
cohort8;1949;2014;120154;invited
cohort9;1951;2014;3505;invited
cohort10;1951;2014;117054;invited
cohort11;1954;2014;38288;invited
cohort12;1938;2015;944;postponed
cohort13;1939;2015;4879;postponed
cohort14;1940;2015;108909;invited
cohort15;1946;2015;197176;invited
cohort16;1947;2015;25575;postponed
cohort17;1948;2015;183615;invited
cohort18;1949;2015;46796;postponed
cohort19;1950;2015;177966;invited
cohort20;1951;2015;82085;postponed
cohort21;1952;2015;186306;invited
cohort22;1954;2015;151140;invited
cohort23;1940;2016;19588;postponed
cohort24;1941;2016;119293;invited
cohort25;1945;2016;146761;invited
cohort26;1946;2016;24318;postponed
cohort27;1948;2016;24261;postponed
cohort28;1950;2016;24474;postponed
cohort29;1952;2016;24450;postponed
cohort30;1953;2016;200990;invited
cohort31;1954;2016;23865;postponed
cohort32;1955;2016;208364;invited
cohort33;1957;2016;219256;invited
cohort34;1941;2017;6754;postponed
cohort35;1942;2017;136184;planned
cohort36;1944;2017;160650;planned
cohort37;1945;2017;8081;postponed
cohort38;1953;2017;8941;postponed
cohort39;1955;2017;9174;postponed
cohort40;1956;2017;224118;planned
cohort41;1957;2017;9060;postponed
cohort42;1958;2017;233648;planned
cohort43;1960;2017;242999;planned
cohort44;1943;2018;149943;planned
cohort45;1959;2018;240729;planned
cohort46;1961;2018;250128;planned
cohort47;1963;2018;257664;planned
cohort48;1962;2019;252826;planned
cohort49;1964;2019;262325;planned
cohort50;1965;2020;257576;planned
cohort51;1966;2021;253748;planned
cohort52;1967;2022;252236;planned
cohort53;1968;2023;254821;planned
cohort54;1969;2024;265868;planned
cohort55;1970;2025;260071;planned
cohort56;1971;2026;249258;planned
cohort57;1972;2027;237447;planned
cohort58;1973;2028;219286;planned
cohort59;1974;2029;211549;planned
cohort60;1975;2030;202442;planned
cohort61;1976;2031;200648;planned
cohort62;1977;2032;198588;planned
cohort63;1978;2033;201431;planned
cohort64;1979;2034;201021;planned
cohort65;1980;2035;207725;planned
cohort66;1981;2036;204764;planned
cohort67;1982;2037;200539;planned
cohort68;1983;2038;199525;planned
cohort69;1984;2039;204685;planned
cohort70;1985;2040;207828;planned
cohort71;1986;2041;212242;planned
cohort72;1987;2042;212374;planned
cohort73;1988;2043;211787;planned
cohort74;1989;2044;213760;planned
cohort75;1990;2045;220839;planned
cohort76;1991;2046;219656;planned
cohort77;1992;2047;216388;planned
cohort78;1993;2048;212818;planned
cohort79;1994;2049;212265;planned
cohort80;1995;2050;204819;planned
cohort81;1996;2051;201917;planned
cohort82;1997;2052;200001;planned
cohort83;1998;2053;203669;planned
cohort84;1999;2054;204436;planned
cohort85;2000;2055;208704;planned
cohort86;2001;2056;204534;planned
cohort87;2002;2057;202739;planned
cohort88;2003;2058;201667;planned
cohort89;2004;2059;194943;planned
cohort90;2005;2060;188997;planned
cohort91;2006;2061;187104;planned
cohort92;2007;2062;183658;planned
cohort93;2008;2063;186954;planned
cohort94;2009;2064;186527;planned
cohort95;2010;2065;185795;planned
cohort96;2011;2066;181193;planned
cohort97;2012;2067;177204;planned
cohort98;2013;2068;172395;planned
