name;birth_year;start_year;invitees;status
cohort1;1938;2014;46544;invited
cohort2;1938;2014;16953;invited
cohort3;1939;2014;20838;invited
cohort4;1939;2014;42009;invited
cohort5;1947;2014;11070;invited
cohort6;1947;2014;84627;invited
cohort7;1949;2014;18690;invited
cohort8;1949;2014;60077;invited
cohort9;1951;2014;1753;invited
cohort10;1951;2014;58527;invited
cohort11;1954;2014;19144;invited
cohort12;1938;2015;511;postponed
cohort13;1939;2015;2601;postponed
cohort14;1940;2015;57831;invited
cohort15;1946;2015;99968;invited
cohort16;1947;2015;12864;postponed
cohort17;1948;2015;92542;invited
cohort18;1949;2015;23398;postponed
cohort19;1950;2015;88983;invited
cohort20;1951;2015;41043;postponed
cohort21;1952;2015;92967;invited
cohort22;1954;2015;75570;invited
cohort23;1940;2016;10401;postponed
cohort24;1941;2016;62390;invited
cohort25;1945;2016;74701;invited
cohort26;1946;2016;12329;postponed
cohort27;1948;2016;12228;postponed
cohort28;1950;2016;12237;postponed
cohort29;1952;2016;12201;postponed
cohort30;1953;2016;100495;invited
cohort31;1954;2016;11933;postponed
cohort32;1955;2016;103974;invited
cohort33;1957;2016;109409;invited
cohort34;1941;2017;3532;postponed
cohort35;1942;2017;70407;planned
cohort36;1944;2017;81932;planned
cohort37;1945;2017;4113;postponed
cohort38;1953;2017;4471;postponed
cohort39;1955;2017;4578;postponed
cohort40;1956;2017;112507;planned
cohort41;1957;2017;4521;postponed
cohort42;1958;2017;116824;planned
cohort43;1960;2017;121257;planned
cohort44;1943;2018;77071;planned
cohort45;1959;2018;120124;planned
cohort46;1961;2018;124564;planned
cohort47;1963;2018;128317;planned
cohort48;1962;2019;126160;planned
cohort49;1964;2019;130113;planned
cohort50;1965;2020;127758;planned
cohort51;1966;2021;125605;planned
cohort52;1967;2022;125109;planned
cohort53;1968;2023;126391;planned
cohort54;1969;2024;132402;planned
cohort55;1970;2025;129255;planned
cohort56;1971;2026;124380;planned
cohort57;1972;2027;118486;planned
cohort58;1973;2028;110301;planned
cohort59;1974;2029;106198;planned
cohort60;1975;2030;101626;planned
cohort61;1976;2031;100725;planned
cohort62;1977;2032;99095;planned
cohort63;1978;2033;101118;planned
cohort64;1979;2034;100712;planned
cohort65;1980;2035;103863;planned
cohort66;1981;2036;102177;planned
cohort67;1982;2037;100470;planned
cohort68;1983;2038;99164;planned
cohort69;1984;2039;101728;planned
cohort70;1985;2040;102875;planned
cohort71;1986;2041;105484;planned
cohort72;1987;2042;105762;planned
cohort73;1988;2043;104623;planned
cohort74;1989;2044;106025;planned
cohort75;1990;2045;109757;planned
cohort76;1991;2046;108510;planned
cohort77;1992;2047;106896;planned
cohort78;1993;2048;104706;planned
cohort79;1994;2049;104434;planned
cohort80;1995;2050;100156;planned
cohort81;1996;2051;98737;planned
cohort82;1997;2052;97200;planned
cohort83;1998;2053;99798;planned
cohort84;1999;2054;99765;planned
cohort85;2000;2055;101848;planned
cohort86;2001;2056;100222;planned
cohort87;2002;2057;99139;planned
cohort88;2003;2058;98413;planned
cohort89;2004;2059;95132;planned
cohort90;2005;2060;92420;planned
cohort91;2006;2061;91494;planned
cohort92;2007;2062;89441;planned
cohort93;2008;2063;91421;planned
cohort94;2009;2064;90839;planned
cohort95;2010;2065;90668;planned
cohort96;2011;2066;88785;planned
cohort97;2012;2067;86298;planned
cohort98;2013;2068;84129;planned
